iso,hf_score,ef_score,pf_score
ALB,7.92,7.48,8.22
DZA,4.7,4.46,4.88
AGO,5.74,4.79,6.42
ARG,6.93,4.55,8.63
ARM,7.91,7.49,8.21
AUS,8.8,7.98,9.38
AUT,8.48,7.62,9.1
AZE,5.54,5.8,5.36
BHS,7.82,6.65,8.66
BHR,5.53,7.51,4.11
BGD,5.52,5.85,5.29
BRB,7.75,6.81,8.42
BLR,5.32,5.98,4.85
BEL,8.47,7.42,9.21
BLZ,7.48,6.0,8.53
BEN,6.93,6.26,7.4
BTN,6.7,6.24,7.03
BOL,6.88,6.11,7.44
BIH,7.15,6.22,7.81
BWA,7.46,6.67,8.02
BRA,7.18,6.56,7.62
BRN,5.88,6.99,5.09
BGR,7.77,7.16,8.21
BFA,6.31,5.9,6.61
BDI,4.88,5.22,4.65
CPV,8.29,7.37,8.95
KHM,6.14,6.85,5.63
CMR,5.26,5.61,5.01
CAN,8.74,7.99,9.28
CAF,5.18,4.92,5.37
TCD,4.81,5.05,4.63
CHL,8.24,7.45,8.81
CHN,4.93,6.14,4.07
COL,6.95,6.54,7.25
COM,5.43,5.56,5.34
COD,5.29,5.02,5.49
COG,5.4,4.89,5.76
CRI,8.23,7.6,8.68
CIV,6.6,5.89,7.1
HRV,8.0,7.07,8.66
CYP,8.25,7.53,8.77
CZE,8.66,7.65,9.39
DNK,9.04,8.02,9.77
DJI,5.49,6.23,4.97
DOM,7.85,7.32,8.23
ECU,6.99,6.14,7.59
EGY,4.17,5.36,3.32
SLV,7.1,7.01,7.16
EST,8.78,7.67,9.56
SWZ,5.11,5.42,4.9
ETH,5.16,5.24,5.1
FJI,7.19,5.99,8.04
FIN,8.84,7.87,9.53
FRA,8.21,7.49,8.72
GAB,6.32,5.28,7.06
GMB,6.71,6.85,6.6
GEO,7.7,7.66,7.72
DEU,8.67,7.8,9.3
GHA,7.07,5.96,7.86
GRC,7.58,6.85,8.1
GTM,7.21,7.45,7.04
GIN,5.16,5.63,4.83
GNB,6.43,5.32,7.22
GUY,6.91,5.6,7.85
HTI,6.15,5.8,6.4
HND,6.9,6.92,6.88
HKG,7.73,8.58,7.12
HUN,7.44,7.12,7.67
ISL,8.8,7.84,9.49
IND,6.26,6.58,6.03
IDN,6.82,6.96,6.73
IRN,3.96,4.63,3.48
IRQ,4.71,5.25,4.32
IRL,8.91,8.02,9.54
ISR,7.54,7.44,7.62
ITA,8.26,7.22,9.0
JAM,7.8,7.32,8.15
JPN,8.73,7.9,9.31
JOR,6.48,7.33,5.87
KAZ,6.38,6.89,6.01
KEN,6.62,6.82,6.48
KOR,8.23,7.52,8.75
KWT,6.1,6.45,5.84
KGZ,6.57,6.53,6.6
LAO,5.15,5.86,4.64
LVA,8.49,7.52,9.18
LBN,5.96,5.35,6.39
LSO,6.69,5.96,7.22
LBR,6.52,5.87,6.99
LBY,4.92,4.65,5.11
LTU,8.38,7.51,9.01
LUX,8.93,7.98,9.61
MDG,6.67,5.95,7.19
MWI,6.85,5.48,7.84
MYS,7.06,7.56,6.7
MLI,5.75,5.63,5.84
MLT,8.48,7.82,8.96
MRT,5.41,5.91,5.05
MUS,7.66,7.79,7.57
MEX,6.66,6.94,6.47
MDA,7.43,6.49,8.11
MNG,7.61,6.86,8.14
MNE,7.77,7.15,8.22
MAR,5.49,6.46,4.81
MOZ,6.41,5.86,6.8
MMR,3.97,4.54,3.57
NAM,7.48,6.23,8.37
NPL,6.9,6.54,7.16
NLD,8.66,7.74,9.33
NZL,9.08,8.39,9.58
NIC,5.27,6.42,4.44
NER,6.26,5.7,6.66
NGA,5.61,5.96,5.37
MKD,7.61,6.74,8.24
NOR,8.73,7.58,9.56
OMN,5.62,6.4,5.07
PAK,5.4,5.62,5.25
PAN,8.0,7.62,8.27
PNG,7.17,6.02,7.99
PRY,7.24,6.98,7.43
PER,7.62,7.41,7.77
PHL,6.54,7.01,6.21
POL,7.72,6.85,8.34
PRT,8.57,7.59,9.27
QAT,5.41,6.71,4.49
ROU,8.03,7.41,8.47
RUS,5.35,5.93,4.94
RWA,5.87,6.45,5.45
SAU,4.8,7.03,3.2
SEN,6.73,5.99,7.25
SRB,7.08,6.7,7.36
SYC,8.01,6.98,8.74
SLE,6.34,5.59,6.87
SGP,7.85,8.55,7.35
SVK,8.2,7.39,8.78
SVN,8.26,7.14,9.05
SOM,4.67,5.95,3.75
ZAF,7.1,6.65,7.42
ESP,8.34,7.54,8.91
LKA,6.11,5.87,6.28
SDN,4.05,4.11,4.0
SUR,7.29,5.46,8.6
SWE,8.8,7.61,9.66
CHE,9.14,8.43,9.65
SYR,3.1,4.28,2.25
TWN,8.61,7.71,9.26
TJK,5.38,6.46,4.61
TZA,6.38,6.4,6.37
THA,6.67,6.94,6.48
TLS,7.34,5.77,8.47
TGO,6.32,6.07,6.5
TTO,7.57,6.64,8.23
TUN,5.97,5.94,5.99
TUR,5.28,5.57,5.06
UGA,5.92,6.75,5.32
UKR,5.84,5.12,6.36
ARE,5.9,7.39,4.85
GBR,8.64,7.88,9.18
USA,8.64,8.09,9.04
URY,8.19,7.04,9.01
VEN,4.18,3.02,5.01
VNM,5.43,6.23,4.85
YEM,3.78,4.68,3.14
ZMB,6.66,6.17,7.02
ZWE,4.87,3.53,5.82
